strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Dakar/14/2012,Senegal,2012-04-11,EPI406244,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/14/2012,Senegal,2012-04-11,EPI406244,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/01/2012,Senegal,2012-04-12,EPI393560,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/01/2012,Senegal,2012-04-12,EPI393560,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/01/2012,Senegal,2012-04-12,EPI393560,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/04/2012,Senegal,2012-04-13,EPI393564,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/06/2012,Senegal,2012-04-15,EPI393568,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/06/2012,Senegal,2012-04-15,EPI393568,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/06/2012,Senegal,2012-04-15,EPI393568,B/Brisbane/60/2008,2.1,1.1,0.28
B/Dakar/06/2012,Senegal,2012-04-15,EPI393568,B/Brisbane/60/2008,2.1,1.1,0.28
B/Stockholm/10/2011,Sweden,2011-02-27,EPI319554,B/Brisbane/60/2008,1.6,0.6,0.0
B/Stockholm/7/2011,Sweden,2011-02-02,EPI319537,B/Brisbane/60/2008,1.6,0.6,0.0
