,combination,extinction_size,wv,wy
271,BY_y_cv0.03_cy0.58,368.734935041176,0.03,0.58
272,BY_y_cv0.03_cy0.59,405.6677217869266,0.03,0.59
273,BY_y_cv0.03_cy0.60,447.78839029452297,0.03,0.6
274,BY_y_cv0.03_cy0.61,495.9808749893974,0.03,0.61
275,BY_y_cv0.03_cy0.62,551.2007465119575,0.03,0.62
276,BY_y_cv0.03_cy0.63,614.274166011214,0.03,0.63
277,BY_y_cv0.03_cy0.64,686.2721943673323,0.03,0.64
278,BY_y_cv0.03_cy0.65,768.7626575973053,0.03,0.65
279,BY_y_cv0.03_cy0.66,862.6520213752669,0.03,0.66
280,BY_y_cv0.03_cy0.67,969.658907943608,0.03,0.67
281,BY_y_cv0.03_cy0.68,1091.134671360972,0.03,0.68
282,BY_y_cv0.03_cy0.69,1228.792051167286,0.03,0.69
283,BY_y_cv0.03_cy0.70,1384.4162320987734,0.03,0.7
284,BY_y_cv0.04_cy0.00,55.60809131984317,0.04,0.0
285,BY_y_cv0.04_cy0.01,56.11626027715847,0.04,0.01
286,BY_y_cv0.04_cy0.02,56.64883155998415,0.04,0.02
287,BY_y_cv0.04_cy0.03,57.18465637892969,0.04,0.03
288,BY_y_cv0.04_cy0.04,57.75065022321669,0.04,0.04
289,BY_y_cv0.04_cy0.05,58.34223772939932,0.04,0.05
290,BY_y_cv0.04_cy0.06,58.95783831619538,0.04,0.06
291,BY_y_cv0.04_cy0.07,59.59122194034299,0.04,0.07
292,BY_y_cv0.04_cy0.08,60.25851227915173,0.04,0.08
293,BY_y_cv0.04_cy0.09,60.94151766347187,0.04,0.09
294,BY_y_cv0.04_cy0.10,61.65903019824746,0.04,0.1
295,BY_y_cv0.04_cy0.11,62.40269169804125,0.04,0.11
296,BY_y_cv0.04_cy0.12,63.18684110209016,0.04,0.12
297,BY_y_cv0.04_cy0.13,64.00135560079434,0.04,0.13
298,BY_y_cv0.04_cy0.14,64.85209336072985,0.04,0.14
299,BY_y_cv0.04_cy0.15,65.73769051546643,0.04,0.15
300,BY_y_cv0.04_cy0.16,66.66640787037704,0.04,0.16
301,BY_y_cv0.04_cy0.17,67.64545099157114,0.04,0.17
